compound_id	smiles	chem_name	mw
83	C=CCOC(=O)C1=C(C)N(Cc2ccc(OC)cc2)C(=O)NC1c1nccs1	prop-2-en-1-yl 1-[(4-methoxyphenyl)methyl]-6-methyl-2-oxo-4-(1,3-thiazol-2-yl)-1,2,3,4-tetrahydropyrimidine-5-carboxylate	399.47
84	C=CCOC(=O)C1=C(C)N(Cc2cccs2)C(=O)NC1c1cnc(NC)nc1	prop-2-en-1-yl 6-methyl-2'-(methylamino)-2-oxo-1-[(thiophen-2-yl)methyl]-1,2,3,4-tetrahydro-[4,5'-bipyrimidine]-5-carboxylate	399.47
85	C=CCOC(=O)C1=C(C)N(c2ccc(C)c(F)c2)C(=O)NC1c1ncnn1CC	prop-2-en-1-yl 4-(1-ethyl-1H-1,2,4-triazol-5-yl)-1-(3-fluoro-4-methylphenyl)-6-methyl-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxylate	399.42
86	C=CCOc1cccc(C2NC(=O)N(CC)C3=C2C(=O)NCC(C)(C)C3)c1	1-ethyl-8,8-dimethyl-4-[3-(prop-2-en-1-yloxy)phenyl]-1H,2H,3H,4H,5H,6H,7H,8H,9H-pyrimido[5,4-c]azepine-2,5-dione	369.46
87	CC(C)COc1ccccc1C1NC(=O)N(C2CC2)C2=C1C(=O)NCCC2	1-cyclopropyl-4-[2-(2-methylpropoxy)phenyl]-1H,2H,3H,4H,5H,6H,7H,8H,9H-pyrimido[5,4-c]azepine-2,5-dione	369.46
88	CC(C)COc1ccccc1C1NC(=O)N(CCF)C2=C1C(=O)NCC(C)C2	1-(2-fluoroethyl)-8-methyl-4-[2-(2-methylpropoxy)phenyl]-1H,2H,3H,4H,5H,6H,7H,8H,9H-pyrimido[5,4-c]azepine-2,5-dione	389.46
89	CC1(C)CNC(=O)C2=C(C1)N(CC1CC1)C(=O)NC2c1cc(N)ccc1Cl	4-(5-amino-2-chlorophenyl)-1-(cyclopropylmethyl)-8,8-dimethyl-1H,2H,3H,4H,5H,6H,7H,8H,9H-pyrimido[5,4-c]azepine-2,5-dione	388.89
90	CC1=C(C(=O)N(C)C)C(c2c(F)cccc2F)NC(=S)N1c1ccc2c(c1)OCCO2		
91	CC1=C(C(=O)N(C)C)C(c2cc(-c3ccccc3)nn2C)N(C)C(=O)N1C	N,N,1,3,6-pentamethyl-4-(1-methyl-3-phenyl-1H-pyrazol-5-yl)-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxamide	367.45
92	CC1=C(C(=O)N(C)C)C(c2cc([N+](=O)[O-])c(F)cc2F)NC(=S)N1c1cc(C)cc(C)c1		
93	CC1=C(C(=O)N(C)C)C(c2cc([N+](=O)[O-])c(F)cc2F)NC(=S)N1c1ccc(F)c(Cl)c1		
94	CC1=C(C(=O)N(C)C)C(c2ccc(-n3ccnc3)cc2C)NC(=O)N1CC(=O)O	2-[5-(dimethylcarbamoyl)-4-[4-(1H-imidazol-1-yl)-2-methylphenyl]-6-methyl-2-oxo-1,2,3,4-tetrahydropyrimidin-1-yl]acetic acid	397.43
95	CC1=C(C(=O)N(C)C)C(c2ccc(Cl)cc2)NC(=S)N1c1ccc2c(c1)OCCO2		
96	CC1=C(C(=O)N(C)C)C(c2ccc(F)cc2)NC(=S)N1c1ccc2c(c1)OCCO2		
97	CC1=C(C(=O)N(C)C)C(c2ccc(OCCC(=O)O)cc2)NC(=S)N1c1cc(C)cc(C)c1		
98	CC1=C(C(=O)N(C)C)C(c2cccc(F)c2)NC(=S)N1		
99	CC1=C(C(=O)N(C)C)C(c2cccc(F)c2)NC(=S)N1c1ccc(C)cc1		
100	CC1=C(C(=O)N(C)C)C(c2ccccc2)NC(=S)N1		
101	CC1=C(C(=O)N(C)C)C(c2ccccc2)NC(=S)N1c1ccccc1		
102	CC1=C(C(=O)N(C)C)C(c2ccccc2F)NC(=S)N1		
103	CC1=C(C(=O)N(C)C)C(c2ccccc2F)NC(=S)N1c1ccc2c(c1)OCCO2		
104	CC1=C(C(=O)N(C)C)C(c2ccccc2OC(F)F)NC(=S)N1c1ccc(C)cc1		
105	CC1=C(C(=O)N2CCOCC2)C(c2c(F)cccc2F)NC(=S)N1c1ccc(F)cc1		
106	CC1=C(C(=O)N2CCOCC2)C(c2c(F)cccc2F)NC(=S)N1c1ccc2c(c1)OCCO2		
107	CC1=C(C(=O)N2CCOCC2)C(c2c(F)cccc2F)NC(=S)N1c1ccccc1		
108	CC1=C(C(=O)N2CCOCC2)C(c2ccc(C)c(C)c2)NC(=S)N1		
109	CC1=C(C(=O)N2CCOCC2)C(c2ccc(F)cc2)NC(=S)N1c1ccc(Cl)cc1		
110	CC1=C(C(=O)N2CCOCC2)C(c2ccc(F)cc2)NC(=S)N1c1ccccc1		
111	CC1=C(C(=O)N2CCOCC2)C(c2cccc(C)c2)NC(=S)N1		
112	CC1=C(C(=O)N2CCOCC2)C(c2ccccc2)NC(=S)N1		
113	CC1=C(C(=O)N2CCOCC2)C(c2ccccc2OC(F)F)NC(=S)N1c1ccc(C)c(F)c1		
114	CC1=C(C(=O)Nc2cc(C)on2)C(c2ccc(F)c(F)c2)NC(=S)N1c1ccc(C)cc1		
115	CC1=C(C(=O)Nc2cc(C)on2)C(c2ccc(F)cc2)NC(=S)N1C		
116	CC1=C(C(=O)Nc2cc(C)on2)C(c2cccc(F)c2)NC(=S)N1C		
117	CC1=C(C(=O)Nc2cc(C)on2)C(c2ccccc2)NC(=S)N1C		
118	CC1=C(C(=O)Nc2cc(C)on2)C(c2ccccc2)NC(=S)N1c1ccccc1		
119	CC1=C(C(=O)Nc2cc(C)on2)C(c2ccccc2C)NC(=S)N1c1ccc(F)cc1		
120	CC1=C(C(=O)Nc2cc(C)on2)C(c2ccccc2Cl)NC(=S)N1c1ccccc1		
121	CC1=C(C(=O)Nc2ccccc2C)C(c2cccc(C(F)(F)F)c2)NC(=S)N1c1ccccc1		
122	CC1=C(C(=O)OC(C)C)C(c2cc3n(n2)CCC3)NC(=O)N1Cc1ccccc1	propan-2-yl 1-benzyl-6-methyl-2-oxo-4-{4H,5H,6H-pyrrolo[1,2-b]pyrazol-2-yl}-1,2,3,4-tetrahydropyrimidine-5-carboxylate	394.47
123	CC1=C(C(=O)OC(C)C)C(c2ccon2)NC(=O)N1Cc1ccc(F)cc1F	propan-2-yl 1-[(2,4-difluorophenyl)methyl]-6-methyl-4-(1,2-oxazol-3-yl)-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxylate	391.37
124	CC1=C(C(=O)OC(C)C)C(c2ncco2)NC(=O)N1Cc1ccc(C(=O)O)cc1	4-{[6-methyl-4-(1,3-oxazol-2-yl)-2-oxo-5-[(propan-2-yloxy)carbonyl]-1,2,3,4-tetrahydropyrimidin-1-yl]methyl}benzoic acid	399.40
125	CC1=C(C(=O)OC(C)C)C(c2ncsn2)NC(=O)N1c1ccc(C)c(F)c1	propan-2-yl 1-(3-fluoro-4-methylphenyl)-6-methyl-2-oxo-4-(1,2,4-thiadiazol-3-yl)-1,2,3,4-tetrahydropyrimidine-5-carboxylate	390.43
126	CC1=C(C(=O)OC(C)C)C(c2ncsn2)NC(=O)N1c1ccc(Cl)cc1	propan-2-yl 1-(4-chlorophenyl)-6-methyl-2-oxo-4-(1,2,4-thiadiazol-3-yl)-1,2,3,4-tetrahydropyrimidine-5-carboxylate	392.86
127	CC1CC2=C(C(=O)N1)C(c1cncc(C(=O)O)c1)NC(=O)N2Cc1cccs1	5-{7-methyl-2,5-dioxo-1-[(thiophen-2-yl)methyl]-1H,2H,3H,4H,5H,6H,7H,8H-pyrido[4,3-d]pyrimidin-4-yl}pyridine-3-carboxylic acid	398.44
128	CC1CNC(=O)C2=C(C1)N(C)C(=O)N(C)C2c1cnc2n1CCCCC2	4-{5H,6H,7H,8H,9H-imidazo[1,2-a]azepin-3-yl}-1,3,8-trimethyl-1H,2H,3H,4H,5H,6H,7H,8H,9H-pyrimido[5,4-c]azepine-2,5-dione	357.45
129	CC1CNC(=O)C2=C(C1)N(C1CC1)C(=O)NC2c1cc(Cl)cc(C(=O)O)c1	3-chloro-5-{1-cyclopropyl-8-methyl-2,5-dioxo-1H,2H,3H,4H,5H,6H,7H,8H,9H-pyrimido[5,4-c]azepin-4-yl}benzoic acid	389.83
130	CC1CNC(=O)C2=C(C1)N(CC(=O)O)C(=O)NC2c1cc(-c2ccccc2)on1	2-[8-methyl-2,5-dioxo-4-(5-phenyl-1,2-oxazol-3-yl)-1H,2H,3H,4H,5H,6H,7H,8H,9H-pyrimido[5,4-c]azepin-1-yl]acetic acid	396.40
131	CCC(CC)N1C(=S)NC(c2ccc[nH]c2=O)C2=C1CN(C(C)(C)C)C2=O	3-[6-tert-butyl-5-oxo-1-(pentan-3-yl)-2-sulfanylidene-1H,2H,3H,4H,5H,6H,7H-pyrrolo[3,4-d]pyrimidin-4-yl]-1,2-dihydropyridin-2-one	388.53
132	CCC1=C(C(=O)OC)C(c2c(Cl)cnn2C)NC(=O)N1Cc1cccs1	methyl 4-(4-chloro-1-methyl-1H-pyrazol-5-yl)-6-ethyl-2-oxo-1-[(thiophen-2-yl)methyl]-1,2,3,4-tetrahydropyrimidine-5-carboxylate	394.88
133	CCC1=C(C(=O)OC)C(c2ccn3ncnc3c2)NC(=O)N1Cc1cccs1	methyl 6-ethyl-2-oxo-1-[(thiophen-2-yl)methyl]-4-{[1,2,4]triazolo[1,5-a]pyridin-7-yl}-1,2,3,4-tetrahydropyrimidine-5-carboxylate	397.45
134	CCC1=C(C(=O)OC)C(c2n[nH]cc2C)NC(=O)N1Cc1ccc(OC)cc1	methyl 6-ethyl-1-[(4-methoxyphenyl)methyl]-4-(4-methyl-1H-pyrazol-3-yl)-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxylate	384.43
135	CCC1=C(C(=O)OC)C(c2nc(C)n(C)n2)NC(=O)N1c1ccc(Cl)cc1	methyl 1-(4-chlorophenyl)-4-(1,5-dimethyl-1H-1,2,4-triazol-3-yl)-6-ethyl-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxylate	389.84
136	CCC1=C(C(=O)OC)C(c2ncn(CC)n2)NC(=O)N1Cc1ccc(OC)cc1	methyl 6-ethyl-4-(1-ethyl-1H-1,2,4-triazol-3-yl)-1-[(4-methoxyphenyl)methyl]-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxylate	399.44
